route_id	trip_headsign	trip_id
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_12
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_955496_13
IDFM:C01374	Bagneux - Lucie Aubrac	IDFM:RATP:107752-C01374-COU_RATP_5082722_2701032_1
IDFM:C01374	Bagneux - Lucie Aubrac	IDFM:RATP:107752-C01374-COU_RATP_5082722_2701031_346
IDFM:C01374	Porte de Clignancourt	IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260
IDFM:C01374	Porte de Clignancourt	IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259
IDFM:C01376	Charles de Gaulle-Etoile	IDFM:RATP:107494-C01376-COU_RATP_5074968_3079498_37
IDFM:C01376	Charles de Gaulle-Etoile	IDFM:RATP:107494-C01376-COU_RATP_5074968_3079498_120
IDFM:C01376	Nation	IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_49
IDFM:C01376	Nation	IDFM:RATP:112742-C01376-COU_RATP_5086081_2953988_48
IDFM:C01371	Château de Vincennes	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_133
IDFM:C01371	Château de Vincennes	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078872_205
IDFM:C01376	Trocadéro	IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_204
IDFM:C01376	Trocadéro	IDFM:RATP:112742-C01376-COU_RATP_5086081_3129068_195
