route_id	route_short_name	route_long_name
IDFM:C01729	E	E
IDFM:C01728	D	D
IDFM:C01727	C	C
IDFM:C01731	R	R
IDFM:C01730	P	P
IDFM:C01736	N	N
IDFM:C01999	T11	T11
IDFM:C01739	J	J
IDFM:C01738	K	K
IDFM:C01737	H	H
IDFM:C01740	L	L
IDFM:C01743	B	B
IDFM:C01742	A	A
IDFM:C01741	U	U
IDFM:C02344	T13	T13
IDFM:C01843	T4	T4
IDFM:C01371	1	1
IDFM:C01372	2	2
IDFM:C01375	5	5
IDFM:C01376	6	6
IDFM:C01373	3	3
IDFM:C01374	4	4
IDFM:C01379	9	9
IDFM:C01377	7	7
IDFM:C01378	8	8
IDFM:C01684	T5	T5
IDFM:C01679	T3b	T3b
IDFM:C00563	CDG VAL	CDG VAL
IDFM:C02528	T10	T10
IDFM:C01383	13	13
IDFM:C01384	14	14
IDFM:C01381	11	11
IDFM:C01382	12	12
IDFM:C01387	7B	7B
IDFM:C01388	ORLYVAL	ORLYVAL
IDFM:C01385	FUN	FUNICULAIRE
IDFM:C01386	3B	3B
IDFM:C01389	T1	T1
IDFM:C01774	T7	T7
IDFM:C02317	T9	T9
IDFM:C01380	10	10
IDFM:C01795	T8	T8
IDFM:C01794	T6	T6
IDFM:C01391	T3a	T3a
IDFM:C01390	T2	T2
